LINHA;CODIGO;DESCRICAO;ULTIMA_VENDA;ESTOQUE;CUSTO
ASUS;BAT-ASU-ZB501KL;BATERIA;10-Jan-20;1;25
ASUS;BAT-ASU-ZC520TL;BATERIA;30-Apr-20;2;25
ASUS;BAT-ASU-ZC553KL;BATERIA;18-Jun-20;6;40
ASUS;BAT-ASU-ZE552KL;BATERIA;16-May-20;1;25
ASUS;BAT-ASU-ZE553KL;BATERIA;01-Nov-19;3;25
ASUS;BAT-ASU-ZE554KL;BATERIA;06-Apr-19;3;25
ASUS;BAT-ASU-ZENFON-2;BATERIA;08-Sep-18;2;20
ASUS;BAT-ASU-ZENFON-5;BATERIA;14-Oct-18;2;25
IPHONE;BAT-IPH-4G;BATERIA;05-Jun-20;12;25
IPHONE;BAT-IPH-4S;BATERIA;04-May-20;3;20
IPHONE;BAT-IPH-5G;BATERIA;09-Jun-20;7;20
IPHONE;BAT-IPH-5S;BATERIA;02-Feb-20;3;20
IPHONE;BAT-IPH-5SE;BATERIA;10-Oct-19;1;25
IPHONE;BAT-IPH-6-PLUS;BATERIA;01-Jul-19;2;30
IPHONE;BAT-IPH-6G;BATERIA;05-May-20;6;18
IPHONE;BAT-IPH-6G-ORIG;BATERIA;05-Nov-19;6;30
IPHONE;BAT-IPH-6G-PLUS;BATERIA;26-Sep-19;1;51
IPHONE;BAT-IPH-6S;BATERIA;02-Apr-20;15;20
IPHONE;BAT-IPH-6S-ORIG;BATERIA;05-Mar-20;2;30
IPHONE;BAT-IPH-6S-PLUS;BATERIA;01-Feb-20;1;30
IPHONE;BAT-IPH-7-PLUS;BATERIA;08-Apr-20;9;30
IPHONE;BAT-IPH-7G;BATERIA;10-Jun-20;116;30
IPHONE;BAT-IPH-8G;BATERIA;15-Jun-20;1;30
IPHONE;BAT-IPH-X;BATERIA;16-Jun-20;1;68
IPHONE;BAT-IPH-X-PLAY;BATERIA;01-May-20;9;25
LENOVO;BAT-LEN-K6-PLUS;BATERIA;03-Oct-19;4;20
LG;BAT-LG-K10;BATERIA;15-May-18;1;25
LG;BAT-LG-K10-2017;BATERIA;10-Jan-20;16;23,83
LG;BAT-LG-K4;BATERIA;30-Apr-20;1;38,25
LG;BAT-LG-K6+/G6+;BATERIA;18-Jun-20;1;27,5
MOTOROLA;BAT-MOT-G1;BATERIA;16-May-20;2;29,75
MOTOROLA;BAT-MOT-G2;BATERIA;01-Nov-19;0;20
MOTOROLA;BAT-MOT-G3;BATERIA;06-Apr-19;1;20
MOTOROLA;BAT-MOT-G4;BATERIA;08-Sep-18;0;25
MOTOROLA;BAT-MOT-G4-PLUS;BATERIA;14-Oct-18;2;24,4
MOTOROLA;BAT-MOT-G5;BATERIA;05-Jun-20;5;25,83
MOTOROLA;BAT-MOT-G5S/G5S+;BATERIA;04-May-20;1;25
MOTOROLA;BAT-MOT-G6;BATERIA;09-Jun-20;4;29,75
MOTOROLA;BAT-MOT-G6-PLAY;BATERIA;02-Feb-20;4;34
MOTOROLA;BAT-MOT-K6+/G6+;BATERIA;10-Oct-19;5;20
MOTOROLA;BAT-MOT-X2;BATERIA;01-Jul-19;2;20
MOTOROLA;BAT-MOT-X4;BATERIA;05-May-20;1;34
MOTOROLA;BAT-MOT-Z-PLAY;BATERIA;01-May-20;4;23,89
MOTOROLA;BAT-MOT-Z2-PLAY;BATERIA;03-Oct-19;4;27,22
SAMSUNG;BAT-SAM-A5;BATERIA;15-May-18;4;22
SAMSUNG;BAT-SAM-A710;BATERIA;10-Jan-20;1;34
SAMSUNG;BAT-SAM-G360;BATERIA;30-Apr-20;5;20
SAMSUNG;BAT-SAM-G530;BATERIA;18-Jun-20;0;20
SAMSUNG;BAT-SAM-G532;BATERIA;16-May-20;5;29,75
SAMSUNG;BAT-SAM-J2;BATERIA;01-Nov-19;4;29,75
SAMSUNG;BAT-SAM-J3;BATERIA;06-Apr-19;1;29,75
SAMSUNG;BAT-SAM-J5;BATERIA;08-Sep-18;12;29,75
SAMSUNG;BAT-SAM-J5-PRIME;BATERIA;14-Oct-18;1;25
SAMSUNG;BAT-SAM-J7-PRIME;BATERIA;05-Jun-20;6;25
SAMSUNG;BAT-SAM-J700;BATERIA;04-May-20;3;22
SAMSUNG;BAT-SAM-J701;BATERIA;09-Jun-20;1;29,75
SAMSUNG;BAT-SAM-S7-PRO;BATERIA;02-Feb-20;3;25
IPHONE;BOT-IPH-5S;BOTAO;10-Oct-19;1;17
IPHONE;BOT-IPH-6G;BOTAO;01-Jul-19;18;5
MOTOROLA;BOT-MOT-G4;BOTAO;05-May-20;4;8,5
MOTOROLA;BOT-MOT-G4-PLAY;BOTAO;05-Nov-19;3;5
MOTOROLA;BOT-MOT-G4-PLUS;BOTAO;26-Sep-19;2;8,5
MOTOROLA;CAR-MOT-E4-PLUS;CARCACA;02-Apr-20;3;25
SAMSUNG;CAR-SAM-J5;CARCACA;05-Mar-20;9;21,25
SAMSUNG;CAR-SAM-J7-PRIME;CARCACA;01-Feb-20;2;30
ASUS;CON-ASU-ZB634KL;CONECTOR;10-Jun-20;1;17
ASUS;CON-ASU-ZC553KL;CONECTOR;15-Jun-20;5;8
ASUS;CON-ASU-ZD552KL;CONECTOR;16-Jun-20;1;17
ASUS;CON-ASU-ZD553KL;CONECTOR;01-May-20;3;10
ASUS;CON-ASU-ZE520KL;CONECTOR;03-Oct-19;1;14
ASUS;CON-ASU-ZE552;CONECTOR;15-May-18;1;17
ASUS;CON-ASU-ZE554KL;CONECTOR;10-Jan-20;1;17
ASUS;CON-ASU-ZE620KL;CONECTOR;30-Apr-20;1;10
ASUS;CON-ASU-ZENFON-5;CONECTOR;18-Jun-20;18;10
ASUS;CON-ASU-ZENFON-6;CONECTOR;16-May-20;88;10
MOTOROLA;CON-MOT-E4;CONECTOR;01-Nov-19;2;8,89
MOTOROLA;CON-MOT-E4-PLUS;CONECTOR;06-Apr-19;4;7
MOTOROLA;CON-MOT-E5-PLAY;CONECTOR;08-Sep-18;3;10
MOTOROLA;CON-MOT-G3;CONECTOR;14-Oct-18;4;17
MOTOROLA;CON-MOT-G4;CONECTOR;05-Jun-20;2;17
MOTOROLA;CON-MOT-G4-PLAY;CONECTOR;04-May-20;2;8,89
MOTOROLA;CON-MOT-G5;CONECTOR;09-Jun-20;3;8,29
MOTOROLA;CON-MOT-G6-PLAY;CONECTOR;02-Feb-20;0;9,5
MOTOROLA;CON-MOT-ONE;CONECTOR;10-Oct-19;1;17
SAMSUNG;CON-SAM-A20;CONECTOR;01-Jul-19;3;10
SAMSUNG;CON-SAM-A750;CONECTOR;05-May-20;10;10
SAMSUNG;CON-SAM-G6-PLAY;CONECTOR;01-May-20;1;11,5
SAMSUNG;CON-SAM-J5;CONECTOR;03-Oct-19;2;17
SAMSUNG;CON-SAM-J6;CONECTOR;15-May-18;1;8,5
XIAOMI;CON-XIA-A1;CONECTOR;10-Jan-20;1;17
XIAOMI;CON-XIA-A2;CONECTOR;30-Apr-20;4;10
XIAOMI;CON-XIA-NOTE-4X;CONECTOR;18-Jun-20;1;17
XIAOMI;CON-XIA-NOTE-5;CONECTOR;16-May-20;1;17
XIAOMI;CON-XIA-NOTE-6-PRO;CONECTOR;01-Nov-19;2;10
MOTOROLA;FLEX-MOT-G4-PLAY;FLEXIVEL;06-Apr-19;1;9,5
SAMSUNG;FLEX-SAM-J5;FLEXIVEL;08-Sep-18;1;13
MOTOROLA;GAVETA-MOT-G2;GAVETA;14-Oct-18;1;16
LG;LCD-LG-K4;LCD;05-Jun-20;2;25,5
MOTOROLA;LCD-MOT-G6;LCD;04-May-20;1;29,75
SAMSUNG;LCD-SAM-8552;LCD;09-Jun-20;10;32
SAMSUNG;LCD-SAM-9082;LCD;02-Feb-20;2;30
SAMSUNG;LCD-SAM-F552;LCD;10-Oct-19;1;34
SAMSUNG;LCD-SAM-G35-S;LCD;01-Jul-19;9;30
SAMSUNG;LCD-SAM-G355;LCD;05-May-20;2;25,5
SAMSUNG;LCD-SAM-G360;LCD;05-Nov-19;4;25,5
SAMSUNG;LCD-SAM-G530;LCD;26-Sep-19;14;26,59
SAMSUNG;LCD-SAM-G531;LCD;02-Apr-20;1;27
SAMSUNG;LCD-SAM-G532;LCD;05-Mar-20;121;27
SAMSUNG;LCD-SAM-G8552;LCD;01-Feb-20;1;29,75
SAMSUNG;LCD-SAM-J105;LCD;08-Apr-20;10;25
SAMSUNG;LCD-SAM-ON7;LCD;10-Jun-20;10;36,33
