CODIGO;DATA;CLIENTE
TEL-ASU-ZB500KG-ORIG;16-Sep-19;Cliente185954
TEL-ASU-ZB501KL-ORIG;16-Sep-19;Cliente526235
TEL-ASU-ZB551KL-ORIG;16-Sep-19;Cliente358874
TEL-ASU-ZB570TL-ORIG;16-Sep-19;Cliente195925
TEL-ASU-ZC500TG-ORIG;16-Sep-19;Cliente756301
TEL-ASU-ZC520TL-ORIG;16-Sep-19;Cliente6473473
TEL-ASU-ZC553KL-ORIG;16-Sep-19;Cliente72844114
TEL-ASU-ZC554KL-ORIG;16-Sep-19;Cliente80953498
TEL-ASU-ZC600KL-ORIG;16-Sep-19;Cliente89062882
TEL-ASU-ZD552KL-ORIG;16-Sep-19;Cliente97172266
TEL-ASU-ZD552KL-ORIG;16-Sep-19;Cliente10528165
TEL-ASU-ZD553KL-ORIG;16-Sep-19;Cliente113391034
TEL-ASU-ZE520KL-ORIG;16-Sep-19;Cliente121577
TEL-ASU-ZE550KL-ORIG;16-Sep-19;Cliente12961693
TEL-ASU-ZE551ML-ORIG;16-Sep-19;Cliente137721309
TEL-ASU-ZE552KL-ORIG;16-Sep-19;Cliente14583143
TEL-ASU-ZE553KL-ORIG;16-Sep-19;Cliente153942046
TEL-ASU-ZE554KL-ORIG;16-Sep-19;Cliente162052662
TEL-IPH-4S-REPL;16-Sep-19;Cliente170163278
TEL-IPH-5C-REPL;16-Sep-19;Cliente178273894
TEL-IPH-5G-REPL;16-Sep-19;Cliente18638451
TEL-IPH-5S-REPL;16-Sep-19;Cliente194495126
TEL-IPH-6-PLUS-REPL;16-Sep-19;Cliente20265742
TEL-IPH-6G-REPL;16-Sep-19;Cliente210716358
TEL-IPH-6S-REPL;16-Sep-19;Cliente218826974
TEL-IPH-6S-PLUS-REPL;16-Sep-19;Cliente22693759
TEL-IPH-7-PLUS-REPL;16-Sep-19;Cliente235048206
TEL-IPH-7G-REPL;16-Sep-19;Cliente243158822
TEL-IPH-8-PLUS-REPL;16-Sep-19;Cliente251269438
TEL-IPH-8G-REPL;16-Sep-19;Cliente2593710054
TEL-IPH-XR-REPL;16-Sep-19;Cliente267481067
TEL-IPH-XS-REPL;16-Sep-19;Cliente2755911286
TEL-MOT-G7-POWER-ORIG;18-Sep-19;Cliente283711902
TEL-SAM-A310-REPL;25-Sep-19;Cliente2918112518
TEL-MOT-G2-ORIG;26-Sep-19;Cliente2999213134
TEL-SAM-A20-ORIG;26-Sep-19;Cliente308031375
TEL-SAM-A20-ORIG;26-Sep-19;Cliente3161414366
TEL-MOT-X4-ORIG;30-Sep-19;Cliente3242514982
TEL-SAM-A20-ORIG;30-Sep-19;Cliente3323615598
TEL-SAM-A520-REPL;30-Sep-19;Cliente3404716214
TEL-XIA-A2-ORIG;30-Sep-19;Cliente348581683
TEL-XIA-A2-ORIG;30-Sep-19;Cliente3566917446
TEL-ASU-ZC554KL-ORIG;01-Oct-19;Cliente364818062
TEL-ASU-ZD553KL-ORIG;01-Oct-19;Cliente3729118678
TEL-ASU-ZD553KL-ORIG;01-Oct-19;Cliente3810219294
TEL-ASU-ZE520KL-ORIG;01-Oct-19;Cliente389131991
TEL-ASU-ZE551ML-ORIG;01-Oct-19;Cliente3972420526
TEL-ASU-ZE553KL-ORIG;01-Oct-19;Cliente4053521142
TEL-ASU-ZS630KL-ORIG;01-Oct-19;Cliente4134621758
TEL-IPH-5G-REPL;01-Oct-19;Cliente4215722374
TEL-IPH-5G-REPL;01-Oct-19;Cliente429682299
TEL-IPH-5S-REPL;01-Oct-19;Cliente4377923606
TEL-IPH-5S-REPL;01-Oct-19;Cliente445924222
TEL-IPH-6-PLUS-REPL;01-Oct-19;Cliente4540124838
TEL-IPH-6G-REPL;01-Oct-19;Cliente4621225454
TEL-IPH-6S-REPL;01-Oct-19;Cliente470232607
TEL-IPH-6S-REPL;01-Oct-19;Cliente4783426686
TEL-IPH-6S-REPL;01-Oct-19;Cliente4864527302
TEL-IPH-6S-PLUS-REPL;01-Oct-19;Cliente4945627918
TEL-IPH-7G-REPL;01-Oct-19;Cliente5026728534
TEL-IPH-7G-REPL;01-Oct-19;Cliente510782915
TEL-IPH-7G-REPL;01-Oct-19;Cliente5188929766
TEL-IPH-X-REPL;01-Oct-19;Cliente527030382
TEL-IPH-X-REPL;01-Oct-19;Cliente5351130998
TEL-IPH-X-REPL;01-Oct-19;Cliente5432231614
TEL-MOT-C-PLUS-ORIG;01-Oct-19;Cliente551333223
TEL-MOT-E2-ORIG;01-Oct-19;Cliente5594432846
TEL-MOT-E4-PLUS-ORIG;01-Oct-19;Cliente5675533462
TEL-MOT-E4-PLUS-ORIG;01-Oct-19;Cliente5756634078
TEL-MOT-E5-ORIG;01-Oct-19;Cliente5837734694
TEL-MOT-E5-PLAY-ORIG;01-Oct-19;Cliente591883531
TEL-MOT-G2-ORIG;01-Oct-19;Cliente5999935926
TEL-MOT-G4-PLAY-ORIG;01-Oct-19;Cliente608136542
TEL-MOT-G5-PLUS-ORIG;01-Oct-19;Cliente6162137158
TEL-MOT-G5-S-ORIG;01-Oct-19;Cliente6243237774
TEL-MOT-G5-S-ORIG;01-Oct-19;Cliente632433839
TEL-MOT-G5-S-ORIG;01-Oct-19;Cliente6405439006
TEL-MOT-G5-S-PLUS-ORIG;01-Oct-19;Cliente6486539622
TEL-MOT-G5-S-PLUS-ORIG;01-Oct-19;Cliente6567640238
TEL-MOT-G6-PLAY-ORIG;01-Oct-19;Cliente6648740854
TEL-MOT-ONE-ORIG;01-Oct-19;Cliente672984147
TEL-MOT-X-PLAY-ORIG;01-Oct-19;Cliente6810942086
TEL-MOT-X4-ORIG;01-Oct-19;Cliente689242702
TEL-MOT-Z2-PLAY-ORIG;01-Oct-19;Cliente6973143318
TEL-SAM-A20-ORIG;01-Oct-19;Cliente7054243934
TEL-SAM-A3-REPL;01-Oct-19;Cliente713534455
TEL-SAM-A30-ORIG;01-Oct-19;Cliente7216445166
TEL-SAM-A30-ORIG;01-Oct-19;Cliente7297545782
TEL-SAM-A5-REPL;01-Oct-19;Cliente7378646398
TEL-SAM-A50-ORIG;01-Oct-19;Cliente7459747014
TEL-SAM-A510-ORIG;01-Oct-19;Cliente754084763
TEL-SAM-A520-REPL;01-Oct-19;Cliente7621948246
TEL-SAM-A6-PLUS-ORIG;01-Oct-19;Cliente770348862
TEL-SAM-A710-ORIG;01-Oct-19;Cliente7784149478
TEL-SAM-A710-ORIG;01-Oct-19;Cliente7865250094
TEL-SAM-A710-REPL;01-Oct-19;Cliente794635071
TEL-SAM-A710-REPL;01-Oct-19;Cliente8027451326
TEL-SAM-A720-REPL;01-Oct-19;Cliente8108551942
TEL-SAM-E5-ORIG;01-Oct-19;Cliente8189652558
TEL-SAM-E5-REPL;01-Oct-19;Cliente8270753174
TEL-SAM-E7-REPL;01-Oct-19;Cliente835185379
TEL-SAM-E7-REPL;01-Oct-19;Cliente8432954406
TEL-SAM-J110-ORIG;01-Oct-19;Cliente851455022
TEL-SAM-J120-REPL;01-Oct-19;Cliente8595155638
TEL-SAM-J120-REPL;01-Oct-19;Cliente8676256254
TEL-SAM-J120-REPL;01-Oct-19;Cliente875735687
TEL-SAM-J2-ORIG;01-Oct-19;Cliente8838457486
TEL-SAM-J2-REPL;01-Oct-19;Cliente8919558102
TEL-SAM-J2-PRO-ORIG;01-Oct-19;Cliente9000658718
TEL-SAM-J3-ORIG;01-Oct-19;Cliente9081759334
TEL-SAM-J3-REPL;01-Oct-19;Cliente916285995
TEL-SAM-J3-REPL;01-Oct-19;Cliente9243960566
TEL-SAM-J4-ORIG;01-Oct-19;Cliente932561182
TEL-SAM-J4-ORIG;01-Oct-19;Cliente9406161798
TEL-SAM-J4-REPL;01-Oct-19;Cliente9487262414
TEL-SAM-J4-REPL;01-Oct-19;Cliente956836303
TEL-SAM-J4-REPL;01-Oct-19;Cliente9649463646
TEL-SAM-J4-REPL;01-Oct-19;Cliente9730564262
TEL-SAM-J4-REPL;01-Oct-19;Cliente9811664878
TEL-SAM-J4-PLUS-REPL;01-Oct-19;Cliente9892765494
TEL-SAM-J5-ORIG;01-Oct-19;Cliente997386611
TEL-SAM-J5-ORIG;01-Oct-19;Cliente10054966726
TEL-SAM-J5-REPL;01-Oct-19;Cliente1013667342
TEL-SAM-J5-PRO-ORIG;01-Oct-19;Cliente10217167958
TEL-SAM-J5-PRO-REPL;01-Oct-19;Cliente10298268574
TEL-SAM-J5-PRO-REPL;01-Oct-19;Cliente1037936919
TEL-SAM-J5-PRO-REPL;01-Oct-19;Cliente10460469806
TEL-SAM-J510-ORIG;01-Oct-19;Cliente10541570422
TEL-SAM-J510-ORIG;01-Oct-19;Cliente10622671038
TEL-SAM-J510-ORIG;01-Oct-19;Cliente10703771654
TEL-SAM-J510-ORIG;01-Oct-19;Cliente1078487227
TEL-SAM-J510-REPL;01-Oct-19;Cliente10865972886
TEL-SAM-J510-REPL;01-Oct-19;Cliente1094773502
TEL-SAM-J6-ORIG;01-Oct-19;Cliente11028174118
